[BPS Process Server][2019-01-12 16:27:52,275][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-12 16:27:52,349][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-12 16:27:52,353][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-12 16:27:52,356][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-12 16:27:52,357][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-12 16:27:52,357][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-12 16:27:52,372][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-12 16:27:52,372][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-12 16:27:52,372][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-12 16:27:53,247][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-12 16:27:53,261][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-12 16:27:53,264][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-12 16:27:53,297][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-12 16:27:53,305][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-12 16:27:53,332][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-12 16:27:53,556][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-12 16:27:53,634][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-12 16:27:53,641][INFO] BPS Process Server start up in 2417 ms
[BPS Process Server][2019-01-12 16:27:53,645][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-12 16:30:53,301][INFO] Timer trig first:180000 3000
[BPS Process Server][2019-01-12 16:36:21,494][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-12 16:36:22,488][INFO] BPS Process Server start failed!!
ErrCode: 21000000
Message: NULL
	at com.primeton.workflow.api.listener.WFStartUpListenerBase.loadFinished(WFStartUpListenerBase.java:583)
	at com.primeton.workflow.api.listener.WFStartUpListenerChain.loadFinished(WFStartUpListenerChain.java:90)
	at com.primeton.workflow.api.listener.WFStartUpListener.loadFinished(WFStartUpListener.java:112)
	at com.primeton.runtime.resource.impl.ContributionListenerManager.fireLoadFinish(ContributionListenerManager.java:100)
	at com.primeton.runtime.resource.impl.ResourceNotify.contributionLoadFinishNofity(ResourceNotify.java:403)
	at com.primeton.runtime.resource.impl.ResourceNotify.notifyResource(ResourceNotify.java:109)
	at com.primeton.runtime.resource.impl.ApplicationResourceLoaderManager.loadApplicationResource(ApplicationResourceLoaderManager.java:38)
	at com.primeton.ext.runtime.resource.startup.ResourceLoaderStartUpListener.start(ResourceLoaderStartUpListener.java:36)
	at com.primeton.runtime.core.impl.RuntimeListenerManagerImpl.startListener(RuntimeListenerManagerImpl.java:43)
	at com.primeton.ext.runtime.core.RuntimeManager.start(RuntimeManager.java:55)
	at com.primeton.ext.runtime.core.RuntimeJ2EEHost.contextInitialized(RuntimeJ2EEHost.java:52)
	at org.apache.catalina.core.StandardContext.listenerStart(StandardContext.java:5003)
	at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:5517)
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:150)
